confirmed_absence_id,canonical_account_id,fiscal_year,stage,amount_type,component,source_document_id,evidence,confirmed_date,replaces_observation_id
CA-0011,ACC-NASA-CONSTRUCTION,2020,President's Budget,supplemental,,SRC-CRPT-116HRPT101,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.139-152: Title III, Title V General Provisions and any Other Appropriations sections) for FY2020 President's Budget; read by OCR of every table page; Title III pp.148-149 read from the page images",2026-09-25,OBS-0675
CA-0012,ACC-NASA-CONSTRUCTION,2020,House Reported,supplemental,,SRC-CRPT-116HRPT101,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.139-152: Title III, Title V General Provisions and any Other Appropriations sections) for FY2020 House Reported; read by OCR of every table page; Title III pp.148-149 read from the page images",2026-09-25,OBS-0674
CA-0013,ACC-NASA-CONSTRUCTION,2020,Senate Reported,supplemental,,SRC-CRPT-116SRPT127,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.186-195: Title III, Title V General Provisions and any Other Appropriations sections) for FY2020 Senate Reported; read by text layer",2026-09-25,OBS-0673
CA-0014,ACC-NASA-CONSTRUCTION,2020,Enacted,supplemental,,SRC-CRPT-116HRPT455,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.178-197: Title III, Title V General Provisions and any Other Appropriations sections) for FY2020 Enacted; read by OCR of every table page; Title III pp.187-188 read from the page images",2026-09-25,OBS-0672
CA-0015,ACC-NASA-CONSTRUCTION,2021,President's Budget,supplemental,,SRC-CRPT-116HRPT455,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.178-197: Title III, Title V General Provisions and any Other Appropriations sections) for FY2021 President's Budget; read by OCR of every table page; Title III pp.187-188 read from the page images",2026-09-25,OBS-0671
CA-0016,ACC-NASA-CONSTRUCTION,2021,House Reported,supplemental,,SRC-CRPT-116HRPT455,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.178-197: Title III, Title V General Provisions and any Other Appropriations sections) for FY2021 House Reported; read by OCR of every table page; Title III pp.187-188 read from the page images",2026-09-25,OBS-0670
CA-0017,ACC-NASA-CONSTRUCTION,2021,Enacted,supplemental,,SRC-CRPT-117HRPT97,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.204-218: Title III, Title V General Provisions and any Other Appropriations sections) for FY2021 Enacted; read by OCR of every table page; Title III pp.213-214 read from the page images",2026-09-25,OBS-0668
CA-0018,ACC-NASA-CONSTRUCTION,2022,President's Budget,supplemental,,SRC-CRPT-117HRPT97,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.204-218: Title III, Title V General Provisions and any Other Appropriations sections) for FY2022 President's Budget; read by OCR of every table page; Title III pp.213-214 read from the page images",2026-09-25,OBS-0667
CA-0019,ACC-NASA-CONSTRUCTION,2022,House Reported,supplemental,,SRC-CRPT-117HRPT97,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.204-218: Title III, Title V General Provisions and any Other Appropriations sections) for FY2022 House Reported; read by OCR of every table page; Title III pp.213-214 read from the page images",2026-09-25,OBS-0666
CA-0020,ACC-NASA-CONSTRUCTION,2023,President's Budget,supplemental,,SRC-CRPT-117HRPT395,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.210-230: Title III, Title V General Provisions and any Other Appropriations sections) for FY2023 President's Budget; read by OCR of every table page; Title III pp.219-220 and p.224 read from the page images",2026-09-25,OBS-0663
CA-0021,ACC-NASA-CONSTRUCTION,2023,House Reported,supplemental,,SRC-CRPT-117HRPT395,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.210-230: Title III, Title V General Provisions and any Other Appropriations sections) for FY2023 House Reported; read by OCR of every table page; Title III pp.219-220 and p.224 read from the page images",2026-09-25,OBS-0662
CA-0022,ACC-NASA-CONSTRUCTION,2024,President's Budget,supplemental,,SRC-CRPT-118SRPT62,Construction and environmental compliance and restoration (emergency) is printed on p.219; its Budget estimate cell is blank (text layer); no other Construction and environmental compliance and restoration (emergency) line in the table (pp.212-225),2026-09-25,OBS-0659
CA-0023,ACC-NASA-CONSTRUCTION,2025,Senate Reported,supplemental,,SRC-CRPT-118SRPT198,Construction and environmental compliance and restoration (emergency) is printed on p.227; its Committee recommendation cell is blank (text layer); no other Construction and environmental compliance and restoration (emergency) line in the table (pp.220-231),2026-09-25,OBS-0653
CA-0024,ACC-NASA-CONSTRUCTION,2026,Senate Reported,supplemental,,SRC-CRPT-119SRPT44,Construction and environmental compliance and restoration (emergency) is printed on p.218; its Committee recommendation cell is blank (text layer); no other Construction and environmental compliance and restoration (emergency) line in the table (pp.211-223),2026-09-25,OBS-0649
CA-0025,ACC-NASA-EXPLORATION,2017,President's Budget,supplemental,,SRC-CRPT-114HRPT605,"No Exploration (emergency) line anywhere in the comparative table (pp.106-118: Title III, Title V General Provisions and any Other Appropriations sections) for FY2017 President's Budget; read by OCR of every table page; Title III pp.114-115 read from the page images",2026-09-25,OBS-0607
CA-0026,ACC-NASA-EXPLORATION,2017,House Reported,supplemental,,SRC-CRPT-114HRPT605,"No Exploration (emergency) line anywhere in the comparative table (pp.106-118: Title III, Title V General Provisions and any Other Appropriations sections) for FY2017 House Reported; read by OCR of every table page; Title III pp.114-115 read from the page images",2026-09-25,OBS-0606
CA-0027,ACC-NASA-EXPLORATION,2017,Senate Reported,supplemental,,SRC-CRPT-114SRPT239,"No Exploration (emergency) line anywhere in the comparative table (pp.134-141: Title III, Title V General Provisions and any Other Appropriations sections) for FY2017 Senate Reported; read by text layer",2026-09-25,OBS-0605
CA-0028,ACC-NASA-EXPLORATION,2018,President's Budget,supplemental,,SRC-CRPT-115HRPT231,"No Exploration (emergency) line anywhere in the comparative table (pp.111-124: Title III, Title V General Provisions and any Other Appropriations sections) for FY2018 President's Budget; read by OCR of every table page; Title III pp.120-121 read from the page images",2026-09-25,OBS-0603
CA-0029,ACC-NASA-EXPLORATION,2018,House Reported,supplemental,,SRC-CRPT-115HRPT231,"No Exploration (emergency) line anywhere in the comparative table (pp.111-124: Title III, Title V General Provisions and any Other Appropriations sections) for FY2018 House Reported; read by OCR of every table page; Title III pp.120-121 read from the page images",2026-09-25,OBS-0602
CA-0030,ACC-NASA-EXPLORATION,2018,Senate Reported,supplemental,,SRC-CRPT-115SRPT139,"No Exploration (emergency) line anywhere in the comparative table (pp.135-143: Title III, Title V General Provisions and any Other Appropriations sections) for FY2018 Senate Reported; read by text layer",2026-09-25,OBS-0601
CA-0031,ACC-NASA-EXPLORATION,2018,Enacted,supplemental,,SRC-CRPT-115HRPT704,"No Exploration (emergency) line anywhere in the comparative table (pp.120-135: Title III, Title V General Provisions and any Other Appropriations sections) for FY2018 Enacted; read by OCR of every table page; Title III pp.128-129 read from the page images",2026-09-25,OBS-0600
CA-0032,ACC-NASA-EXPLORATION,2019,President's Budget,supplemental,,SRC-CRPT-115HRPT704,"No Exploration (emergency) line anywhere in the comparative table (pp.120-135: Title III, Title V General Provisions and any Other Appropriations sections) for FY2019 President's Budget; read by OCR of every table page; Title III pp.128-129 read from the page images",2026-09-25,OBS-0599
CA-0033,ACC-NASA-EXPLORATION,2019,House Reported,supplemental,,SRC-CRPT-115HRPT704,"No Exploration (emergency) line anywhere in the comparative table (pp.120-135: Title III, Title V General Provisions and any Other Appropriations sections) for FY2019 House Reported; read by OCR of every table page; Title III pp.128-129 read from the page images",2026-09-25,OBS-0598
CA-0034,ACC-NASA-EXPLORATION,2019,Senate Reported,supplemental,,SRC-CRPT-115SRPT275,"No Exploration (emergency) line anywhere in the comparative table (pp.152-161: Title III, Title V General Provisions and any Other Appropriations sections) for FY2019 Senate Reported; read by text layer",2026-09-25,OBS-0597
CA-0035,ACC-NASA-EXPLORATION,2019,Enacted,supplemental,,SRC-CRPT-116HRPT101,"No Exploration (emergency) line anywhere in the comparative table (pp.139-152: Title III, Title V General Provisions and any Other Appropriations sections) for FY2019 Enacted; read by OCR of every table page; Title III pp.148-149 read from the page images",2026-09-25,OBS-0596
CA-0036,ACC-NASA-EXPLORATION,2020,President's Budget,supplemental,,SRC-CRPT-116HRPT101,"No Exploration (emergency) line anywhere in the comparative table (pp.139-152: Title III, Title V General Provisions and any Other Appropriations sections) for FY2020 President's Budget; read by OCR of every table page; Title III pp.148-149 read from the page images",2026-09-25,OBS-0595
CA-0037,ACC-NASA-EXPLORATION,2020,House Reported,supplemental,,SRC-CRPT-116HRPT101,"No Exploration (emergency) line anywhere in the comparative table (pp.139-152: Title III, Title V General Provisions and any Other Appropriations sections) for FY2020 House Reported; read by OCR of every table page; Title III pp.148-149 read from the page images",2026-09-25,OBS-0594
CA-0038,ACC-NASA-EXPLORATION,2020,Senate Reported,supplemental,,SRC-CRPT-116SRPT127,"No Exploration (emergency) line anywhere in the comparative table (pp.186-195: Title III, Title V General Provisions and any Other Appropriations sections) for FY2020 Senate Reported; read by text layer",2026-09-25,OBS-0593
CA-0039,ACC-NASA-EXPLORATION,2020,Enacted,supplemental,,SRC-CRPT-116HRPT455,"No Exploration (emergency) line anywhere in the comparative table (pp.178-197: Title III, Title V General Provisions and any Other Appropriations sections) for FY2020 Enacted; read by OCR of every table page; Title III pp.187-188 read from the page images",2026-09-25,OBS-0592
CA-0040,ACC-NASA-EXPLORATION,2021,President's Budget,supplemental,,SRC-CRPT-116HRPT455,"No Exploration (emergency) line anywhere in the comparative table (pp.178-197: Title III, Title V General Provisions and any Other Appropriations sections) for FY2021 President's Budget; read by OCR of every table page; Title III pp.187-188 read from the page images",2026-09-25,OBS-0591
CA-0041,ACC-NASA-EXPLORATION,2021,House Reported,supplemental,,SRC-CRPT-116HRPT455,"No Exploration (emergency) line anywhere in the comparative table (pp.178-197: Title III, Title V General Provisions and any Other Appropriations sections) for FY2021 House Reported; read by OCR of every table page; Title III pp.187-188 read from the page images",2026-09-25,OBS-0590
CA-0042,ACC-NASA-EXPLORATION,2021,Enacted,supplemental,,SRC-CRPT-117HRPT97,"No Exploration (emergency) line anywhere in the comparative table (pp.204-218: Title III, Title V General Provisions and any Other Appropriations sections) for FY2021 Enacted; read by OCR of every table page; Title III pp.213-214 read from the page images",2026-09-25,OBS-0588
CA-0043,ACC-NASA-EXPLORATION,2022,President's Budget,supplemental,,SRC-CRPT-117HRPT97,"No Exploration (emergency) line anywhere in the comparative table (pp.204-218: Title III, Title V General Provisions and any Other Appropriations sections) for FY2022 President's Budget; read by OCR of every table page; Title III pp.213-214 read from the page images",2026-09-25,OBS-0587
CA-0044,ACC-NASA-EXPLORATION,2022,House Reported,supplemental,,SRC-CRPT-117HRPT97,"No Exploration (emergency) line anywhere in the comparative table (pp.204-218: Title III, Title V General Provisions and any Other Appropriations sections) for FY2022 House Reported; read by OCR of every table page; Title III pp.213-214 read from the page images",2026-09-25,OBS-0586
CA-0045,ACC-NASA-EXPLORATION,2022,Enacted,supplemental,,SRC-CRPT-117HRPT395,"No Exploration (emergency) line anywhere in the comparative table (pp.210-230: Title III, Title V General Provisions and any Other Appropriations sections) for FY2022 Enacted; read by OCR of every table page; Title III pp.219-220 and p.224 read from the page images",2026-09-25,OBS-0584
CA-0046,ACC-NASA-EXPLORATION,2023,President's Budget,supplemental,,SRC-CRPT-117HRPT395,"No Exploration (emergency) line anywhere in the comparative table (pp.210-230: Title III, Title V General Provisions and any Other Appropriations sections) for FY2023 President's Budget; read by OCR of every table page; Title III pp.219-220 and p.224 read from the page images",2026-09-25,OBS-0583
CA-0047,ACC-NASA-EXPLORATION,2023,House Reported,supplemental,,SRC-CRPT-117HRPT395,"No Exploration (emergency) line anywhere in the comparative table (pp.210-230: Title III, Title V General Provisions and any Other Appropriations sections) for FY2023 House Reported; read by OCR of every table page; Title III pp.219-220 and p.224 read from the page images",2026-09-25,OBS-0582
CA-0048,ACC-NASA-EXPLORATION,2023,Enacted,supplemental,,SRC-CRPT-118SRPT62,Deep Space Exploration Systems (emergency) is printed on p.219; its 2023 appropriation cell is blank (text layer); no other Exploration (emergency) line in the table (pp.212-225),2026-09-25,OBS-0580
CA-0049,ACC-NASA-EXPLORATION,2024,President's Budget,supplemental,,SRC-CRPT-118SRPT62,Deep Space Exploration Systems (emergency) is printed on p.219; its Budget estimate cell is blank (text layer); no other Exploration (emergency) line in the table (pp.212-225),2026-09-25,OBS-0579
CA-0050,ACC-NASA-EXPLORATION,2026,Senate Reported,supplemental,,SRC-CRPT-119SRPT44,Exploration (emergency) is printed on p.218; its Committee recommendation cell is blank (text layer); no other Exploration (emergency) line in the table (pp.211-223),2026-09-25,OBS-0569
CA-0051,ACC-NASA-SPACEOPS,2017,President's Budget,rescission,,SRC-CRPT-114HRPT605,"No Space Operations rescission line anywhere in the comparative table (pp.106-118: Title III, Title V General Provisions and any Other Appropriations sections) for FY2017 President's Budget; read by OCR of every table page; Title III pp.114-115 read from the page images",2026-09-25,
CA-0052,ACC-NASA-SPACEOPS,2017,House Reported,rescission,,SRC-CRPT-114HRPT605,"No Space Operations rescission line anywhere in the comparative table (pp.106-118: Title III, Title V General Provisions and any Other Appropriations sections) for FY2017 House Reported; read by OCR of every table page; Title III pp.114-115 read from the page images",2026-09-25,
CA-0053,ACC-NASA-SPACEOPS,2017,Senate Reported,rescission,,SRC-CRPT-114SRPT239,"No Space Operations rescission line anywhere in the comparative table (pp.134-141: Title III, Title V General Provisions and any Other Appropriations sections) for FY2017 Senate Reported; read by text layer",2026-09-25,
CA-0054,ACC-NASA-SPACEOPS,2017,Enacted,rescission,,SRC-CRPT-115HRPT231,"No Space Operations rescission line anywhere in the comparative table (pp.111-124: Title III, Title V General Provisions and any Other Appropriations sections) for FY2017 Enacted; read by OCR of every table page; Title III pp.120-121 read from the page images",2026-09-25,
CA-0055,ACC-NASA-SPACEOPS,2018,President's Budget,rescission,,SRC-CRPT-115HRPT231,"No Space Operations rescission line anywhere in the comparative table (pp.111-124: Title III, Title V General Provisions and any Other Appropriations sections) for FY2018 President's Budget; read by OCR of every table page; Title III pp.120-121 read from the page images",2026-09-25,
CA-0056,ACC-NASA-SPACEOPS,2018,House Reported,rescission,,SRC-CRPT-115HRPT231,"No Space Operations rescission line anywhere in the comparative table (pp.111-124: Title III, Title V General Provisions and any Other Appropriations sections) for FY2018 House Reported; read by OCR of every table page; Title III pp.120-121 read from the page images",2026-09-25,
CA-0057,ACC-NASA-SPACEOPS,2018,Senate Reported,rescission,,SRC-CRPT-115SRPT139,"No Space Operations rescission line anywhere in the comparative table (pp.135-143: Title III, Title V General Provisions and any Other Appropriations sections) for FY2018 Senate Reported; read by text layer",2026-09-25,
CA-0058,ACC-NASA-SPACEOPS,2018,Enacted,rescission,,SRC-CRPT-115HRPT704,"No Space Operations rescission line anywhere in the comparative table (pp.120-135: Title III, Title V General Provisions and any Other Appropriations sections) for FY2018 Enacted; read by OCR of every table page; Title III pp.128-129 read from the page images",2026-09-25,
CA-0059,ACC-NASA-SPACEOPS,2019,House Reported,rescission,,SRC-CRPT-115HRPT704,"No Space Operations rescission line anywhere in the comparative table (pp.120-135: Title III, Title V General Provisions and any Other Appropriations sections) for FY2019 House Reported; read by OCR of every table page; Title III pp.128-129 read from the page images; the unnamed 'NASA closeouts (rescission)' line on p.132 prints '---' in the Bill column",2026-09-25,
CA-0060,ACC-NASA-SPACEOPS,2020,President's Budget,rescission,,SRC-CRPT-116HRPT101,"No Space Operations rescission line anywhere in the comparative table (pp.139-152: Title III, Title V General Provisions and any Other Appropriations sections) for FY2020 President's Budget; read by OCR of every table page; Title III pp.148-149 read from the page images; the unnamed 'NASA closeouts (rescission)' line on p.152 prints '---' in the FY 2020 Request column",2026-09-25,
CA-0061,ACC-NASA-SPACEOPS,2020,House Reported,rescission,,SRC-CRPT-116HRPT101,"No Space Operations rescission line anywhere in the comparative table (pp.139-152: Title III, Title V General Provisions and any Other Appropriations sections) for FY2020 House Reported; read by OCR of every table page; Title III pp.148-149 read from the page images; the unnamed 'NASA closeouts (rescission)' line on p.152 prints '---' in the Bill column",2026-09-25,
CA-0062,ACC-NASA-SPACEOPS,2020,Senate Reported,rescission,,SRC-CRPT-116SRPT127,"No Space Operations rescission line anywhere in the comparative table (pp.186-195: Title III, Title V General Provisions and any Other Appropriations sections) for FY2020 Senate Reported; read by text layer; the only NASA rescission in the Committee recommendation column is 'NASA Science (rescission) -70,000' (p.193)",2026-09-25,
CA-0063,ACC-NASA-SPACEOPS,2020,Enacted,rescission,,SRC-CRPT-116HRPT455,"No Space Operations rescission line anywhere in the comparative table (pp.178-197: Title III, Title V General Provisions and any Other Appropriations sections) for FY2020 Enacted; read by OCR of every table page; Title III pp.187-188 read from the page images; the only NASA rescission in the FY 2020 Enacted column is 'NASA Science (rescission) -70,000' (p.191)",2026-09-25,
CA-0064,ACC-NASA-SPACEOPS,2021,President's Budget,rescission,,SRC-CRPT-116HRPT455,"No Space Operations rescission line anywhere in the comparative table (pp.178-197: Title III, Title V General Provisions and any Other Appropriations sections) for FY2021 President's Budget; read by OCR of every table page; Title III pp.187-188 read from the page images",2026-09-25,
CA-0065,ACC-NASA-SPACEOPS,2021,House Reported,rescission,,SRC-CRPT-116HRPT455,"No Space Operations rescission line anywhere in the comparative table (pp.178-197: Title III, Title V General Provisions and any Other Appropriations sections) for FY2021 House Reported; read by OCR of every table page; Title III pp.187-188 read from the page images",2026-09-25,
CA-0066,ACC-NASA-SPACEOPS,2021,Enacted,rescission,,SRC-CRPT-117HRPT97,"No Space Operations rescission line anywhere in the comparative table (pp.204-218: Title III, Title V General Provisions and any Other Appropriations sections) for FY2021 Enacted; read by OCR of every table page; Title III pp.213-214 read from the page images",2026-09-25,
CA-0067,ACC-NASA-SPACEOPS,2022,President's Budget,rescission,,SRC-CRPT-117HRPT97,"No Space Operations rescission line anywhere in the comparative table (pp.204-218: Title III, Title V General Provisions and any Other Appropriations sections) for FY2022 President's Budget; read by OCR of every table page; Title III pp.213-214 read from the page images",2026-09-25,
CA-0068,ACC-NASA-SPACEOPS,2022,House Reported,rescission,,SRC-CRPT-117HRPT97,"No Space Operations rescission line anywhere in the comparative table (pp.204-218: Title III, Title V General Provisions and any Other Appropriations sections) for FY2022 House Reported; read by OCR of every table page; Title III pp.213-214 read from the page images",2026-09-25,
CA-0069,ACC-NASA-SPACEOPS,2022,Enacted,rescission,,SRC-CRPT-117HRPT395,"No Space Operations rescission line anywhere in the comparative table (pp.210-230: Title III, Title V General Provisions and any Other Appropriations sections) for FY2022 Enacted; read by OCR of every table page; Title III pp.219-220 and p.224 read from the page images",2026-09-25,
CA-0070,ACC-NASA-SPACEOPS,2023,President's Budget,rescission,,SRC-CRPT-117HRPT395,"No Space Operations rescission line anywhere in the comparative table (pp.210-230: Title III, Title V General Provisions and any Other Appropriations sections) for FY2023 President's Budget; read by OCR of every table page; Title III pp.219-220 and p.224 read from the page images",2026-09-25,
CA-0071,ACC-NASA-SPACEOPS,2023,House Reported,rescission,,SRC-CRPT-117HRPT395,"No Space Operations rescission line anywhere in the comparative table (pp.210-230: Title III, Title V General Provisions and any Other Appropriations sections) for FY2023 House Reported; read by OCR of every table page; Title III pp.219-220 and p.224 read from the page images",2026-09-25,
CA-0072,ACC-NASA-SPACEOPS,2023,Enacted,rescission,,SRC-CRPT-118SRPT62,"No Space Operations rescission line anywhere in the comparative table (pp.212-225: Title III, Title V General Provisions and any Other Appropriations sections) for FY2023 Enacted; read by text layer",2026-09-25,
CA-0073,ACC-NASA-SPACEOPS,2024,President's Budget,rescission,,SRC-CRPT-118SRPT62,"No Space Operations rescission line anywhere in the comparative table (pp.212-225: Title III, Title V General Provisions and any Other Appropriations sections) for FY2024 President's Budget; read by text layer",2026-09-25,
CA-0074,ACC-NASA-SPACEOPS,2024,Senate Reported,rescission,,SRC-CRPT-118SRPT62,"No Space Operations rescission line anywhere in the comparative table (pp.212-225: Title III, Title V General Provisions and any Other Appropriations sections) for FY2024 Senate Reported; read by text layer",2026-09-25,
CA-0075,ACC-NASA-SPACEOPS,2025,Enacted,rescission,,SRC-CRPT-119HRPT272,"No Space Operations rescission line anywhere in the comparative table (pp.244-262: Title III, Title V General Provisions and any Other Appropriations sections) for FY2025 Enacted; read by OCR of every table page; Title III pp.256-257 read from the page images",2026-09-25,
CA-0076,ACC-NASA-SPACEOPS,2026,President's Budget,rescission,,SRC-EXPL-FY2026-PB,"No Space Operations rescission line anywhere in the comparative table (pp.116-135: Title III, Title V General Provisions and any Other Appropriations sections) for FY2026 President's Budget; read by the uploaded copy fy26_cjs_jes.pdf (same title and cited values; not byte-compared with the rules.house.gov file, which this environment can't reach): OCR of every table page; Title III pp.128-129 read from the page images",2026-09-25,
CA-0077,ACC-NASA-SPACEOPS,2026,House Reported,rescission,,SRC-CRPT-119HRPT272,"No Space Operations rescission line anywhere in the comparative table (pp.244-262: Title III, Title V General Provisions and any Other Appropriations sections) for FY2026 House Reported; read by OCR of every table page; Title III pp.256-257 read from the page images",2026-09-25,
CA-0078,ACC-NASA-SPACEOPS,2026,Senate Reported,rescission,,SRC-CRPT-119SRPT44,"No Space Operations rescission line anywhere in the comparative table (pp.211-223: Title III, Title V General Provisions and any Other Appropriations sections) for FY2026 Senate Reported; read by text layer",2026-09-25,
CA-0079,ACC-NASA-SPACEOPS,2026,Enacted,rescission,,SRC-EXPL-FY2026-PB,"No Space Operations rescission line anywhere in the comparative table (pp.116-135: Title III, Title V General Provisions and any Other Appropriations sections) for FY2026 Enacted; read by the uploaded copy fy26_cjs_jes.pdf (same title and cited values; not byte-compared with the rules.house.gov file, which this environment can't reach): OCR of every table page; Title III pp.128-129 read from the page images",2026-09-25,
CA-0080,ACC-NSF-MREFC,2017,President's Budget,supplemental,,SRC-CRPT-114HRPT605,"No Major Research Equipment and Facilities Construction (emergency) line anywhere in the comparative table (pp.106-118: Title III, Title V General Provisions and any Other Appropriations sections) for FY2017 President's Budget; read by OCR of every table page; Title III pp.114-115 read from the page images",2026-09-25,OBS-0883
CA-0081,ACC-NSF-MREFC,2017,House Reported,supplemental,,SRC-CRPT-114HRPT605,"No Major Research Equipment and Facilities Construction (emergency) line anywhere in the comparative table (pp.106-118: Title III, Title V General Provisions and any Other Appropriations sections) for FY2017 House Reported; read by OCR of every table page; Title III pp.114-115 read from the page images",2026-09-25,OBS-0882
CA-0082,ACC-NSF-MREFC,2017,Senate Reported,supplemental,,SRC-CRPT-114SRPT239,"No Major Research Equipment and Facilities Construction (emergency) line anywhere in the comparative table (pp.134-141: Title III, Title V General Provisions and any Other Appropriations sections) for FY2017 Senate Reported; read by text layer",2026-09-25,OBS-0881
CA-0083,ACC-NSF-MREFC,2017,Enacted,supplemental,,SRC-CRPT-115HRPT231,"No Major Research Equipment and Facilities Construction (emergency) line anywhere in the comparative table (pp.111-124: Title III, Title V General Provisions and any Other Appropriations sections) for FY2017 Enacted; read by OCR of every table page; Title III pp.120-121 read from the page images; the table's FY 2017 Enacted emergency total is the unnamed NASA line alone",2026-09-25,OBS-0880
CA-0084,ACC-NSF-MREFC,2018,President's Budget,supplemental,,SRC-CRPT-115HRPT231,"No Major Research Equipment and Facilities Construction (emergency) line anywhere in the comparative table (pp.111-124: Title III, Title V General Provisions and any Other Appropriations sections) for FY2018 President's Budget; read by OCR of every table page; Title III pp.120-121 read from the page images",2026-09-25,OBS-0879
CA-0085,ACC-NSF-MREFC,2018,House Reported,supplemental,,SRC-CRPT-115HRPT231,"No Major Research Equipment and Facilities Construction (emergency) line anywhere in the comparative table (pp.111-124: Title III, Title V General Provisions and any Other Appropriations sections) for FY2018 House Reported; read by OCR of every table page; Title III pp.120-121 read from the page images",2026-09-25,OBS-0878
CA-0086,ACC-NSF-MREFC,2018,Senate Reported,supplemental,,SRC-CRPT-115SRPT139,"No Major Research Equipment and Facilities Construction (emergency) line anywhere in the comparative table (pp.135-143: Title III, Title V General Provisions and any Other Appropriations sections) for FY2018 Senate Reported; read by text layer",2026-09-25,OBS-0877
CA-0087,ACC-NSF-MREFC,2018,Enacted,supplemental,,SRC-CRPT-115HRPT704,"No Major Research Equipment and Facilities Construction (emergency) line anywhere in the comparative table (pp.120-135: Title III, Title V General Provisions and any Other Appropriations sections) for FY2018 Enacted; read by OCR of every table page; Title III pp.128-129 read from the page images",2026-09-25,OBS-0876
