verdict,kind,observation_id,canonical_account_id,fiscal_year,stage,amount_type,source_document_id,source_page,evidence
DASH,$0 supplemental observation,OBS-0571,ACC-NASA-EXPLORATION,2026,President's Budget,supplemental,SRC-EXPL-FY2026-PB,128-130,"Exploration (emergency), p.128: FY 2026 Request '---'"
DASH,$0 supplemental observation,OBS-0570,ACC-NASA-EXPLORATION,2026,House Reported,supplemental,SRC-CRPT-119HRPT272,256-257,"Deep Space Exploration Systems (emergency), p.256: Bill '---'"
DASH,$0 supplemental observation,OBS-0568,ACC-NASA-EXPLORATION,2026,Enacted,supplemental,SRC-EXPL-FY2026-PB,128-130,"Exploration (emergency), p.128: Final Bill '---'"
DASH,missing rescission cell,,ACC-NASA-SPACEOPS,2024,Enacted,rescission,SRC-CRPT-118HRPT582,247-248,"Space Operations rescission line, p.247: FY 2024 Enacted '---'"
DASH,missing rescission cell,,ACC-NASA-SPACEOPS,2025,House Reported,rescission,SRC-CRPT-118HRPT582,247-248,"Space Operations rescission line, p.247: Bill '---'"
DASH,$0 supplemental observation,OBS-0851,ACC-NSF-MREFC,2025,President's Budget,supplemental,SRC-CRPT-118HRPT582,247-248,"Major Research Equipment and Facilities Construction (emergency), p.248: FY 2025 Request '---'"
DASH,$0 supplemental observation,OBS-0850,ACC-NSF-MREFC,2025,House Reported,supplemental,SRC-CRPT-118HRPT582,247-248,"Major Research Equipment and Facilities Construction (emergency), p.248: Bill '---'"
DASH,$0 supplemental observation,OBS-0847,ACC-NSF-MREFC,2026,President's Budget,supplemental,SRC-EXPL-FY2026-PB,128-130,"Major Research Equipment and Facilities Construction (emergency), p.129: FY 2026 Request '---'"
DASH,$0 supplemental observation,OBS-0846,ACC-NSF-MREFC,2026,House Reported,supplemental,SRC-CRPT-119HRPT272,256-257,"Major Research Equipment and Facilities Construction (emergency), p.257: Bill '---'"
DASH,$0 supplemental observation,OBS-0844,ACC-NSF-MREFC,2026,Enacted,supplemental,SRC-EXPL-FY2026-PB,128-130,"Major Research Equipment and Facilities Construction (emergency), p.129: Final Bill '---'"
UNCHECKED,$0 supplemental observation,OBS-0669,ACC-NASA-CONSTRUCTION,2021,Senate Reported,supplemental,SRC-EXPL-FY2021-SENATE,197-199,document not reachable from this environment (host blocked); nothing checked
UNCHECKED,$0 supplemental observation,OBS-0665,ACC-NASA-CONSTRUCTION,2022,Senate Reported,supplemental,SRC-EXPL-FY2022-SENATE,207-208,document not reachable from this environment (host blocked); nothing checked
UNCHECKED,$0 supplemental observation,OBS-0661,ACC-NASA-CONSTRUCTION,2023,Senate Reported,supplemental,SRC-EXPL-FY2023-SENATE,215-216,document not reachable from this environment (host blocked); nothing checked
UNCHECKED,$0 supplemental observation,OBS-0658,ACC-NASA-CONSTRUCTION,2024,House Reported,supplemental,SRC-EXPL-FY2024-HOUSE,170-171,document not reachable from this environment (host blocked); nothing checked
UNCHECKED,$0 supplemental observation,OBS-0589,ACC-NASA-EXPLORATION,2021,Senate Reported,supplemental,SRC-EXPL-FY2021-SENATE,197-199,document not reachable from this environment (host blocked); nothing checked
UNCHECKED,$0 supplemental observation,OBS-0585,ACC-NASA-EXPLORATION,2022,Senate Reported,supplemental,SRC-EXPL-FY2022-SENATE,207-208,document not reachable from this environment (host blocked); nothing checked
UNCHECKED,$0 supplemental observation,OBS-0581,ACC-NASA-EXPLORATION,2023,Senate Reported,supplemental,SRC-EXPL-FY2023-SENATE,215-216,document not reachable from this environment (host blocked); nothing checked
UNCHECKED,$0 supplemental observation,OBS-0578,ACC-NASA-EXPLORATION,2024,House Reported,supplemental,SRC-EXPL-FY2024-HOUSE,170-171,document not reachable from this environment (host blocked); nothing checked
UNCHECKED,missing rescission cell,,ACC-NASA-SPACEOPS,2021,Senate Reported,rescission,SRC-EXPL-FY2021-SENATE,197-199,document not reachable from this environment (host blocked); nothing checked
UNCHECKED,missing rescission cell,,ACC-NASA-SPACEOPS,2022,Senate Reported,rescission,SRC-EXPL-FY2022-SENATE,207-208,document not reachable from this environment (host blocked); nothing checked
UNCHECKED,missing rescission cell,,ACC-NASA-SPACEOPS,2023,Senate Reported,rescission,SRC-EXPL-FY2023-SENATE,215-216,document not reachable from this environment (host blocked); nothing checked
UNCHECKED,missing rescission cell,,ACC-NASA-SPACEOPS,2024,House Reported,rescission,SRC-EXPL-FY2024-HOUSE,170-171,document not reachable from this environment (host blocked); nothing checked
UNCHECKED,$0 supplemental observation,OBS-0865,ACC-NSF-MREFC,2021,Senate Reported,supplemental,SRC-EXPL-FY2021-SENATE,197-199,document not reachable from this environment (host blocked); nothing checked
UNCHECKED,$0 supplemental observation,OBS-0861,ACC-NSF-MREFC,2022,Senate Reported,supplemental,SRC-EXPL-FY2022-SENATE,207-208,document not reachable from this environment (host blocked); nothing checked
UNCHECKED,$0 supplemental observation,OBS-0857,ACC-NSF-MREFC,2023,Senate Reported,supplemental,SRC-EXPL-FY2023-SENATE,215-216,document not reachable from this environment (host blocked); nothing checked
UNCHECKED,$0 supplemental observation,OBS-0854,ACC-NSF-MREFC,2024,House Reported,supplemental,SRC-EXPL-FY2024-HOUSE,170-171,document not reachable from this environment (host blocked); nothing checked
UNCHECKED,$0 supplemental observation,OBS-0785,ACC-NSF-RRA,2021,Senate Reported,supplemental,SRC-EXPL-FY2021-SENATE,197-199,document not reachable from this environment (host blocked); nothing checked
UNCHECKED,$0 supplemental observation,OBS-0781,ACC-NSF-RRA,2022,Senate Reported,supplemental,SRC-EXPL-FY2022-SENATE,207-208,document not reachable from this environment (host blocked); nothing checked
UNCHECKED,$0 supplemental observation,OBS-0777,ACC-NSF-RRA,2023,Senate Reported,supplemental,SRC-EXPL-FY2023-SENATE,215-216,document not reachable from this environment (host blocked); nothing checked
UNCHECKED,$0 supplemental observation,OBS-0774,ACC-NSF-RRA,2024,House Reported,supplemental,SRC-EXPL-FY2024-HOUSE,170-171,document not reachable from this environment (host blocked); nothing checked
ABSENT_BLANK,$0 supplemental observation,OBS-0677,ACC-NASA-CONSTRUCTION,2019,Senate Reported,supplemental,SRC-CRPT-115SRPT275,157-158,"the only Construction and Environmental Compliance and Restoration (emergency) line (p.161, P.L. 115-123 section) prints a figure in the 2018 appropriation column only; its Committee recommendation cell is blank (text layer); no other Construction and environmental compliance and restoration (emergency) line in the table (pp.152-161)"
ABSENT_BLANK,$0 supplemental observation,OBS-0659,ACC-NASA-CONSTRUCTION,2024,President's Budget,supplemental,SRC-CRPT-118SRPT62,219-220,Construction and environmental compliance and restoration (emergency) is printed on p.219; its Budget estimate cell is blank (text layer); no other Construction and environmental compliance and restoration (emergency) line in the table (pp.212-225)
ABSENT_BLANK,$0 supplemental observation,OBS-0653,ACC-NASA-CONSTRUCTION,2025,Senate Reported,supplemental,SRC-CRPT-118SRPT198,227-228,Construction and environmental compliance and restoration (emergency) is printed on p.227; its Committee recommendation cell is blank (text layer); no other Construction and environmental compliance and restoration (emergency) line in the table (pp.220-231)
ABSENT_BLANK,$0 supplemental observation,OBS-0649,ACC-NASA-CONSTRUCTION,2026,Senate Reported,supplemental,SRC-CRPT-119SRPT44,217-219,Construction and environmental compliance and restoration (emergency) is printed on p.218; its Committee recommendation cell is blank (text layer); no other Construction and environmental compliance and restoration (emergency) line in the table (pp.211-223)
ABSENT_BLANK,$0 supplemental observation,OBS-0580,ACC-NASA-EXPLORATION,2023,Enacted,supplemental,SRC-CRPT-118SRPT62,219-220,Deep Space Exploration Systems (emergency) is printed on p.219; its 2023 appropriation cell is blank (text layer); no other Exploration (emergency) line in the table (pp.212-225)
ABSENT_BLANK,$0 supplemental observation,OBS-0579,ACC-NASA-EXPLORATION,2024,President's Budget,supplemental,SRC-CRPT-118SRPT62,219-220,Deep Space Exploration Systems (emergency) is printed on p.219; its Budget estimate cell is blank (text layer); no other Exploration (emergency) line in the table (pp.212-225)
ABSENT_BLANK,$0 supplemental observation,OBS-0569,ACC-NASA-EXPLORATION,2026,Senate Reported,supplemental,SRC-CRPT-119SRPT44,217-219,Exploration (emergency) is printed on p.218; its Committee recommendation cell is blank (text layer); no other Exploration (emergency) line in the table (pp.211-223)
ABSENT_BLANK,$0 supplemental observation,OBS-0849,ACC-NSF-MREFC,2025,Senate Reported,supplemental,SRC-CRPT-118SRPT198,227-228,Major Research Equipment and Facilities Construction (emergency) is printed on p.228; its Committee recommendation cell is blank (text layer); no other Major Research Equipment and Facilities Construction (emergency) line in the table (pp.220-231)
ABSENT_BLANK,$0 supplemental observation,OBS-0845,ACC-NSF-MREFC,2026,Senate Reported,supplemental,SRC-CRPT-119SRPT44,217-219,Major Research Equipment and Facilities Construction (emergency) is printed on p.218; its Committee recommendation cell is blank (text layer); no other Major Research Equipment and Facilities Construction (emergency) line in the table (pp.211-223)
ABSENT_BLANK,$0 supplemental observation,OBS-0793,ACC-NSF-RRA,2019,Senate Reported,supplemental,SRC-CRPT-115SRPT275,157-158,"the only Research and Related Activities (emergency) line (p.161, P.L. 115-123 section) prints a figure in the 2018 appropriation column only; its Committee recommendation cell is blank (text layer); no other Research and related activities (emergency) line in the table (pp.152-161)"
ABSENT_BLANK,$0 supplemental observation,OBS-0775,ACC-NSF-RRA,2024,President's Budget,supplemental,SRC-CRPT-118SRPT62,219-220,Research and related activities (emergency) is printed on p.219; its Budget estimate cell is blank (text layer); no other Research and related activities (emergency) line in the table (pp.212-225)
ABSENT_NO_LINE,$0 supplemental observation,OBS-0687,ACC-NASA-CONSTRUCTION,2017,President's Budget,supplemental,SRC-CRPT-114HRPT605,114-115,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.106-118: Title III, Title V General Provisions and any Other Appropriations sections) for FY2017 President's Budget; read by OCR of every table page; Title III pp.114-115 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0686,ACC-NASA-CONSTRUCTION,2017,House Reported,supplemental,SRC-CRPT-114HRPT605,114-115,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.106-118: Title III, Title V General Provisions and any Other Appropriations sections) for FY2017 House Reported; read by OCR of every table page; Title III pp.114-115 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0685,ACC-NASA-CONSTRUCTION,2017,Senate Reported,supplemental,SRC-CRPT-114SRPT239,139-140,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.134-141: Title III, Title V General Provisions and any Other Appropriations sections) for FY2017 Senate Reported; read by text layer"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0683,ACC-NASA-CONSTRUCTION,2018,President's Budget,supplemental,SRC-CRPT-115HRPT231,120-121,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.111-124: Title III, Title V General Provisions and any Other Appropriations sections) for FY2018 President's Budget; read by OCR of every table page; Title III pp.120-121 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0682,ACC-NASA-CONSTRUCTION,2018,House Reported,supplemental,SRC-CRPT-115HRPT231,120-121,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.111-124: Title III, Title V General Provisions and any Other Appropriations sections) for FY2018 House Reported; read by OCR of every table page; Title III pp.120-121 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0681,ACC-NASA-CONSTRUCTION,2018,Senate Reported,supplemental,SRC-CRPT-115SRPT139,140-141,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.135-143: Title III, Title V General Provisions and any Other Appropriations sections) for FY2018 Senate Reported; read by text layer"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0679,ACC-NASA-CONSTRUCTION,2019,President's Budget,supplemental,SRC-CRPT-115HRPT704,128-129,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.120-135: Title III, Title V General Provisions and any Other Appropriations sections) for FY2019 President's Budget; read by OCR of every table page; Title III pp.128-129 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0678,ACC-NASA-CONSTRUCTION,2019,House Reported,supplemental,SRC-CRPT-115HRPT704,128-129,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.120-135: Title III, Title V General Provisions and any Other Appropriations sections) for FY2019 House Reported; read by OCR of every table page; Title III pp.128-129 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0676,ACC-NASA-CONSTRUCTION,2019,Enacted,supplemental,SRC-CRPT-116HRPT101,148-149,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.139-152: Title III, Title V General Provisions and any Other Appropriations sections) for FY2019 Enacted; read by OCR of every table page; Title III pp.148-149 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0675,ACC-NASA-CONSTRUCTION,2020,President's Budget,supplemental,SRC-CRPT-116HRPT101,148-149,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.139-152: Title III, Title V General Provisions and any Other Appropriations sections) for FY2020 President's Budget; read by OCR of every table page; Title III pp.148-149 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0674,ACC-NASA-CONSTRUCTION,2020,House Reported,supplemental,SRC-CRPT-116HRPT101,148-149,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.139-152: Title III, Title V General Provisions and any Other Appropriations sections) for FY2020 House Reported; read by OCR of every table page; Title III pp.148-149 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0673,ACC-NASA-CONSTRUCTION,2020,Senate Reported,supplemental,SRC-CRPT-116SRPT127,191-192,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.186-195: Title III, Title V General Provisions and any Other Appropriations sections) for FY2020 Senate Reported; read by text layer"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0672,ACC-NASA-CONSTRUCTION,2020,Enacted,supplemental,SRC-CRPT-116HRPT455,187-188,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.178-197: Title III, Title V General Provisions and any Other Appropriations sections) for FY2020 Enacted; read by OCR of every table page; Title III pp.187-188 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0671,ACC-NASA-CONSTRUCTION,2021,President's Budget,supplemental,SRC-CRPT-116HRPT455,187-188,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.178-197: Title III, Title V General Provisions and any Other Appropriations sections) for FY2021 President's Budget; read by OCR of every table page; Title III pp.187-188 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0670,ACC-NASA-CONSTRUCTION,2021,House Reported,supplemental,SRC-CRPT-116HRPT455,187-188,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.178-197: Title III, Title V General Provisions and any Other Appropriations sections) for FY2021 House Reported; read by OCR of every table page; Title III pp.187-188 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0668,ACC-NASA-CONSTRUCTION,2021,Enacted,supplemental,SRC-CRPT-117HRPT97,213-214,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.204-218: Title III, Title V General Provisions and any Other Appropriations sections) for FY2021 Enacted; read by OCR of every table page; Title III pp.213-214 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0667,ACC-NASA-CONSTRUCTION,2022,President's Budget,supplemental,SRC-CRPT-117HRPT97,213-214,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.204-218: Title III, Title V General Provisions and any Other Appropriations sections) for FY2022 President's Budget; read by OCR of every table page; Title III pp.213-214 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0666,ACC-NASA-CONSTRUCTION,2022,House Reported,supplemental,SRC-CRPT-117HRPT97,213-214,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.204-218: Title III, Title V General Provisions and any Other Appropriations sections) for FY2022 House Reported; read by OCR of every table page; Title III pp.213-214 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0663,ACC-NASA-CONSTRUCTION,2023,President's Budget,supplemental,SRC-CRPT-117HRPT395,219-220,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.210-230: Title III, Title V General Provisions and any Other Appropriations sections) for FY2023 President's Budget; read by OCR of every table page; Title III pp.219-220 and p.224 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0662,ACC-NASA-CONSTRUCTION,2023,House Reported,supplemental,SRC-CRPT-117HRPT395,219-220,"No Construction and environmental compliance and restoration (emergency) line anywhere in the comparative table (pp.210-230: Title III, Title V General Provisions and any Other Appropriations sections) for FY2023 House Reported; read by OCR of every table page; Title III pp.219-220 and p.224 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0607,ACC-NASA-EXPLORATION,2017,President's Budget,supplemental,SRC-CRPT-114HRPT605,114-115,"No Exploration (emergency) line anywhere in the comparative table (pp.106-118: Title III, Title V General Provisions and any Other Appropriations sections) for FY2017 President's Budget; read by OCR of every table page; Title III pp.114-115 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0606,ACC-NASA-EXPLORATION,2017,House Reported,supplemental,SRC-CRPT-114HRPT605,114-115,"No Exploration (emergency) line anywhere in the comparative table (pp.106-118: Title III, Title V General Provisions and any Other Appropriations sections) for FY2017 House Reported; read by OCR of every table page; Title III pp.114-115 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0605,ACC-NASA-EXPLORATION,2017,Senate Reported,supplemental,SRC-CRPT-114SRPT239,139-140,"No Exploration (emergency) line anywhere in the comparative table (pp.134-141: Title III, Title V General Provisions and any Other Appropriations sections) for FY2017 Senate Reported; read by text layer"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0603,ACC-NASA-EXPLORATION,2018,President's Budget,supplemental,SRC-CRPT-115HRPT231,120-121,"No Exploration (emergency) line anywhere in the comparative table (pp.111-124: Title III, Title V General Provisions and any Other Appropriations sections) for FY2018 President's Budget; read by OCR of every table page; Title III pp.120-121 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0602,ACC-NASA-EXPLORATION,2018,House Reported,supplemental,SRC-CRPT-115HRPT231,120-121,"No Exploration (emergency) line anywhere in the comparative table (pp.111-124: Title III, Title V General Provisions and any Other Appropriations sections) for FY2018 House Reported; read by OCR of every table page; Title III pp.120-121 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0601,ACC-NASA-EXPLORATION,2018,Senate Reported,supplemental,SRC-CRPT-115SRPT139,140-141,"No Exploration (emergency) line anywhere in the comparative table (pp.135-143: Title III, Title V General Provisions and any Other Appropriations sections) for FY2018 Senate Reported; read by text layer"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0600,ACC-NASA-EXPLORATION,2018,Enacted,supplemental,SRC-CRPT-115HRPT704,128-129,"No Exploration (emergency) line anywhere in the comparative table (pp.120-135: Title III, Title V General Provisions and any Other Appropriations sections) for FY2018 Enacted; read by OCR of every table page; Title III pp.128-129 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0599,ACC-NASA-EXPLORATION,2019,President's Budget,supplemental,SRC-CRPT-115HRPT704,128-129,"No Exploration (emergency) line anywhere in the comparative table (pp.120-135: Title III, Title V General Provisions and any Other Appropriations sections) for FY2019 President's Budget; read by OCR of every table page; Title III pp.128-129 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0598,ACC-NASA-EXPLORATION,2019,House Reported,supplemental,SRC-CRPT-115HRPT704,128-129,"No Exploration (emergency) line anywhere in the comparative table (pp.120-135: Title III, Title V General Provisions and any Other Appropriations sections) for FY2019 House Reported; read by OCR of every table page; Title III pp.128-129 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0597,ACC-NASA-EXPLORATION,2019,Senate Reported,supplemental,SRC-CRPT-115SRPT275,157-158,"No Exploration (emergency) line anywhere in the comparative table (pp.152-161: Title III, Title V General Provisions and any Other Appropriations sections) for FY2019 Senate Reported; read by text layer"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0596,ACC-NASA-EXPLORATION,2019,Enacted,supplemental,SRC-CRPT-116HRPT101,148-149,"No Exploration (emergency) line anywhere in the comparative table (pp.139-152: Title III, Title V General Provisions and any Other Appropriations sections) for FY2019 Enacted; read by OCR of every table page; Title III pp.148-149 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0595,ACC-NASA-EXPLORATION,2020,President's Budget,supplemental,SRC-CRPT-116HRPT101,148-149,"No Exploration (emergency) line anywhere in the comparative table (pp.139-152: Title III, Title V General Provisions and any Other Appropriations sections) for FY2020 President's Budget; read by OCR of every table page; Title III pp.148-149 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0594,ACC-NASA-EXPLORATION,2020,House Reported,supplemental,SRC-CRPT-116HRPT101,148-149,"No Exploration (emergency) line anywhere in the comparative table (pp.139-152: Title III, Title V General Provisions and any Other Appropriations sections) for FY2020 House Reported; read by OCR of every table page; Title III pp.148-149 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0593,ACC-NASA-EXPLORATION,2020,Senate Reported,supplemental,SRC-CRPT-116SRPT127,191-192,"No Exploration (emergency) line anywhere in the comparative table (pp.186-195: Title III, Title V General Provisions and any Other Appropriations sections) for FY2020 Senate Reported; read by text layer"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0592,ACC-NASA-EXPLORATION,2020,Enacted,supplemental,SRC-CRPT-116HRPT455,187-188,"No Exploration (emergency) line anywhere in the comparative table (pp.178-197: Title III, Title V General Provisions and any Other Appropriations sections) for FY2020 Enacted; read by OCR of every table page; Title III pp.187-188 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0591,ACC-NASA-EXPLORATION,2021,President's Budget,supplemental,SRC-CRPT-116HRPT455,187-188,"No Exploration (emergency) line anywhere in the comparative table (pp.178-197: Title III, Title V General Provisions and any Other Appropriations sections) for FY2021 President's Budget; read by OCR of every table page; Title III pp.187-188 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0590,ACC-NASA-EXPLORATION,2021,House Reported,supplemental,SRC-CRPT-116HRPT455,187-188,"No Exploration (emergency) line anywhere in the comparative table (pp.178-197: Title III, Title V General Provisions and any Other Appropriations sections) for FY2021 House Reported; read by OCR of every table page; Title III pp.187-188 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0588,ACC-NASA-EXPLORATION,2021,Enacted,supplemental,SRC-CRPT-117HRPT97,213-214,"No Exploration (emergency) line anywhere in the comparative table (pp.204-218: Title III, Title V General Provisions and any Other Appropriations sections) for FY2021 Enacted; read by OCR of every table page; Title III pp.213-214 read from the page images"
ABSENT_NO_LINE,$0 supplemental observation,OBS-0587,ACC-NASA-EXPLORATION,2022,President's Budget,supplemental,SRC-CRPT-117HRPT97,213-214,"No Exploration (emergency) line anywhere in the comparative table (pp.204-218: Title III, Title V General Provisions and any Other Appropriations sections) for FY2022 President's Budget; read by OCR of every table page; Title III pp.213-214 read from the page images"
